param_value,system,median,iqr,rs_median,improv_pct,is_default
0.1,brotli,1.46,0.0,1.472,0.8152173913043484,False
0.1,x264,21.586,0.09399999999999764,22.759,5.154005009007434,False
0.1,LLVM,52285.4,29.55000000000291,59141.5,11.592705629718553,False
0.1,7z,4842.0,3619.0,4576.3,-5.806000480737709,False
0.15,brotli,1.46,0.0,1.472,0.8152173913043484,False
0.15,x264,21.610999999999997,0.15399999999999991,22.759,5.044158354936522,False
0.15,LLVM,52285.4,39.400000000001455,59141.5,11.592705629718553,False
0.15,7z,4717.0,526.8000000000002,4576.3,-3.074536197364679,False
0.2,brotli,1.46,0.0,1.472,0.8152173913043484,False
0.2,x264,21.636,0.13700000000000045,22.759,4.934311700865597,False
0.2,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
0.2,7z,4651.5,355.35000000000036,4576.3,-1.6432489128772112,False
0.25,brotli,1.46,0.0,1.472,0.8152173913043484,False
0.25,x264,21.610999999999997,0.09399999999999764,22.759,5.044158354936522,False
0.25,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
0.25,7z,4677.4,887.6500000000005,4576.3,-2.209208312392095,False
0.3,brotli,1.46,0.0,1.472,0.8152173913043484,True
0.3,x264,21.586,0.09399999999999764,22.759,5.154005009007434,True
0.3,LLVM,52285.4,0.0,59141.5,11.592705629718553,True
0.3,7z,4673.8,429.9500000000007,4576.3,-2.130542141030964,True
0.4,brotli,1.46,0.0,1.472,0.8152173913043484,False
0.4,x264,21.65,0.20149999999999935,22.759,4.872797574585886,False
0.4,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
0.4,7z,4656.4,289.9500000000007,4576.3,-1.750322312785426,False
0.5,brotli,1.46,0.0,1.472,0.8152173913043484,False
0.5,x264,21.698,0.3424999999999976,22.759,4.6618919987697165,False
0.5,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
0.5,7z,4689.4,367.90000000000055,4576.3,-2.471428883595906,False
