run,random_search,flash_rf,tpe
1,22.982,21.906,21.556
2,22.934,21.556,21.586
3,22.664,21.556,21.556
4,23.178,21.714,21.556
5,22.554,21.65,21.636
6,23.586,21.65,21.556
7,22.92,21.65,21.586
8,22.874,21.556,21.556
9,22.138,21.772,21.636
10,23.162,21.636,21.636
11,23.048,21.556,21.586
12,23.2,21.586,21.714
13,22.486,21.586,21.65
14,23.062,22.142,21.678
15,22.34,21.65,21.678
16,21.636,21.636,21.556
17,22.142,21.906,21.586
18,23.056,21.65,21.586
19,22.018,21.556,21.636
20,22.904,21.556,21.556
21,22.486,21.698,21.698
22,22.622,21.556,21.906
23,22.854,21.556,21.556
24,21.678,21.556,21.586
25,23.186,21.556,21.698
26,22.018,21.556,21.65
27,22.664,21.556,21.586
28,22.168,21.714,21.698
29,21.906,21.586,21.694
30,23.034,21.586,21.556
