run,random_search,flash_cart
1,4795.2,4777.2
2,4402.6,4224.2
3,4667.6,4525.6
4,4582.0,5208.6
5,4417.4,4734.4
6,4570.6,4780.4
7,4593.8,4605.6
8,4315.8,8958.0
9,4507.4,4706.2
10,4976.8,4558.4
11,4857.8,4642.0
12,4800.8,4330.6
13,4370.6,4654.6
14,4541.0,8910.0
15,4697.6,4845.6
16,4871.2,4297.8
17,5239.4,4440.4
18,8916.8,4301.2
19,4415.0,4681.2
20,4852.6,8886.8
21,4396.2,4830.6
22,4419.8,4402.4
23,4343.8,4315.2
24,4306.2,4679.0
25,4275.6,4361.2
26,4299.2,4901.4
27,4720.2,4960.2
28,4918.0,9079.2
29,4385.2,4668.6
30,4726.2,4321.4
