run,random_search,flash_cart
1,31.2602,31.0888
2,31.2232,30.7448
3,31.03,30.7448
4,31.0946,30.8186
5,31.4676,30.7448
6,31.3372,30.8186
7,31.1244,30.8186
8,30.8186,30.7448
9,31.0888,30.7448
10,31.03,30.7448
11,30.8186,30.7448
12,30.8186,30.8186
13,31.0888,30.7448
14,30.7448,30.8186
15,31.1244,30.8186
16,31.0888,30.7448
17,31.1458,31.1622
18,30.7448,30.8186
19,30.7448,30.7448
20,31.2782,30.8186
21,31.03,30.7448
22,30.7448,30.8186
23,31.1458,30.7448
24,31.0888,30.7448
25,31.4314,31.0946
26,31.03,30.7448
27,30.8186,31.1622
28,30.7448,30.7448
29,31.3498,31.1622
30,31.1244,30.7448
