run,random_search,flash_cart
1,56929.8,52285.4
2,59540.4,52285.4
3,63358.6,52285.4
4,56442.8,52285.4
5,57870.2,52285.4
6,59782.6,52285.4
7,57202.0,52285.4
8,56536.8,52285.4
9,57211.8,52285.4
10,63087.4,52285.4
11,58023.0,52285.4
12,59994.2,52324.8
13,60984.2,52285.4
14,55484.0,52285.4
15,59257.4,52285.4
16,60750.4,52285.4
17,59633.6,52285.4
18,58555.8,52285.4
19,61688.0,52285.4
20,60304.4,52285.4
21,55606.0,52285.4
22,62322.4,52324.8
23,57859.4,53756.2
24,56762.2,52324.8
25,58714.6,53839.4
26,59463.0,52285.4
27,60456.6,52285.4
28,54172.6,52285.4
29,59146.6,52285.4
30,59136.4,52285.4
