run,random_search,flash_cart
1,22.982,21.906
2,22.934,21.556
3,22.664,21.556
4,23.178,21.714
5,22.554,21.65
6,23.586,21.65
7,22.92,21.65
8,22.874,21.556
9,22.138,21.772
10,23.162,21.636
11,23.048,21.556
12,23.2,21.586
13,22.486,21.586
14,23.062,22.142
15,22.34,21.65
16,21.636,21.636
17,22.142,21.906
18,23.056,21.65
19,22.018,21.556
20,22.904,21.556
21,22.486,21.698
22,22.622,21.556
23,22.854,21.556
24,21.678,21.556
25,23.186,21.556
26,22.018,21.556
27,22.664,21.556
28,22.168,21.714
29,21.906,21.586
30,23.034,21.586
