run,random_search,flash_v1,flash_v2,tpe
1,4795.2,4777.2,4277.2,4649.2
2,4402.6,4224.2,8944.2,4224.0
3,4667.6,4525.6,4275.6,8891.4
4,4582.0,5208.6,8958.0,4224.0
5,4417.4,4734.4,5264.4,4277.2
6,4570.6,4780.4,5719.2,4275.6
7,4593.8,4605.6,4298.0,7397.8
8,4315.8,8958.0,9077.0,4307.4
9,4507.4,4706.2,4567.6,4200.6
10,4976.8,4558.4,4315.4,4200.6
11,4857.8,4642.0,4291.0,4340.2
12,4800.8,4330.6,4275.6,4585.0
13,4370.6,4654.6,4340.2,4315.2
14,4541.0,8910.0,4857.8,4196.4
15,4697.6,4845.6,8934.4,4353.8
16,4871.2,4297.8,4277.2,4200.6
17,5239.4,4440.4,9093.0,4196.4
18,8916.8,4301.2,4297.8,4310.8
19,4415.0,4681.2,4681.2,4382.8
20,4852.6,8886.8,4686.8,4682.8
21,4396.2,4830.6,4685.6,4280.4
22,4419.8,4402.4,4376.4,4317.0
23,4343.8,4315.2,9094.0,4295.8
24,4306.2,4679.0,4645.6,4334.2
25,4275.6,4361.2,4277.2,4312.8
26,4299.2,4901.4,4335.8,4282.4
27,4720.2,4960.2,4430.8,4351.4
28,4918.0,9079.2,9093.0,4307.4
29,4385.2,4668.6,4271.2,4291.0
30,4726.2,4321.4,4282.4,4310.8
