run,random_search,flash_v2,flash_v4
1,46073.6,45922.8,45922.8
2,46092.0,46035.0,46022.8
3,46070.8,45980.8,45980.8
4,46092.0,45922.8,45922.8
5,46022.8,46039.0,45980.8
6,46064.6,45939.8,46039.0
7,46102.0,45922.8,45922.8
8,45939.8,45980.8,46035.0
9,46064.6,45980.8,45939.8
10,46073.6,45922.8,45922.8
11,46064.6,46039.0,45922.8
12,45939.8,46042.4,45939.8
13,46022.8,45980.8,45980.8
14,46111.6,45939.8,45939.8
15,46035.0,45980.8,45980.8
16,46054.6,45980.8,45939.8
17,45939.8,45922.8,45980.8
18,45922.8,45980.8,45939.8
19,46121.6,45980.8,45980.8
20,46035.0,45939.8,45980.8
21,46039.0,46039.0,45980.8
22,45939.8,46035.0,45922.8
23,46022.8,45980.8,45980.8
24,46124.2,46039.0,45922.8
25,46121.0,45939.8,45939.8
26,45939.8,45980.8,45980.8
27,46073.6,46035.0,45922.8
28,45939.8,45980.8,45980.8
29,45980.8,46039.0,45939.8
30,46094.8,45980.8,45922.8
