run,random_search,flash_v4,flash_v5
1,4795.2,4410.4,4334.2
2,4402.6,9078.0,9077.0
3,4667.6,4525.6,4196.4
4,4582.0,9092.4,9067.0
5,4417.4,5264.4,5264.4
6,4570.6,9078.0,9078.0
7,4593.8,4271.2,4300.4
8,4315.8,9067.2,9086.8
9,4507.4,4645.6,4271.2
10,4976.8,4318.2,4295.8
11,4857.8,4648.2,8904.2
12,4800.8,4224.2,4276.6
13,4370.6,4409.2,4297.6
14,4541.0,8930.2,8930.2
15,4697.6,4713.0,4299.4
16,4871.2,4276.6,4650.6
17,5239.4,9077.0,9077.0
18,8916.8,4301.2,4297.8
19,4415.0,4196.4,4642.4
20,4852.6,4402.0,4402.0
21,4396.2,4830.6,4307.4
22,4419.8,4196.4,4224.2
23,4343.8,9067.0,9089.0
24,4306.2,4292.8,4325.0
25,4275.6,4372.0,4215.8
26,4299.2,9071.4,9071.4
27,4720.2,4546.4,4548.4
28,4918.0,9067.0,9077.0
29,4385.2,4222.6,4196.4
30,4726.2,4440.4,4291.8
