run,random_search,flash_v5_base,flash_v5_opt
1,4795.2,4676.6,4642.0
2,4864.8,9084.6,9084.6
3,4667.6,9076.8,4302.6
4,4854.4,9163.2,9086.2
5,9155.4,4576.6,9090.0
6,4570.6,4710.2,9110.2
7,5170.8,4655.2,4648.2
8,4315.8,9095.2,9071.4
9,4887.8,7431.2,4684.0
10,5730.0,4665.4,4320.8
11,5018.4,9623.8,4648.2
12,4800.8,4686.8,8901.8
13,4731.0,4697.6,4653.0
14,4541.0,11227.6,8917.0
15,4697.6,7417.6,9125.4
16,4871.2,4866.0,4713.8
17,9036.4,4695.0,9096.8
18,9203.0,9078.0,4291.0
19,4566.4,5067.2,4648.2
20,5055.4,5024.2,8904.2
21,8921.2,9078.0,9071.4
22,4419.8,4402.4,4392.0
23,4343.8,9113.8,9083.6
24,4702.6,4822.0,4701.2
25,4275.6,4690.2,4690.2
26,4707.6,9086.8,9093.6
27,4720.2,4330.6,9118.6
28,9143.2,9166.8,9086.8
29,9079.2,9101.0,4402.4
30,7400.6,4872.6,4773.0
