run,random_search,flash_v5_base,flash_v5_opt
1,31.2782,30.8186,30.7448
2,31.6514,30.7448,30.7448
3,31.0888,31.0888,30.8186
4,31.2232,31.1458,30.8186
5,31.4676,30.8186,31.1622
6,31.3372,30.8186,30.7448
7,31.3372,30.8186,30.8186
8,31.3186,30.8186,30.7448
9,31.6068,30.7448,31.1982
10,32.0384,30.8186,30.7448
11,30.8186,31.3186,30.7448
12,31.4648,31.0888,30.7448
13,31.0888,30.8186,30.8186
14,31.6068,162.9336,31.1982
15,31.2796,30.7448,30.8186
16,31.368,30.7448,30.7448
17,31.6374,30.8186,30.7448
18,31.2326,30.8186,30.8186
19,31.1244,30.7448,30.8186
20,31.3498,30.8186,30.8186
21,31.4676,30.8186,30.7448
22,31.3186,31.2232,30.8186
23,31.1458,31.4676,30.7448
24,31.1458,30.8186,30.8186
25,31.6068,30.7448,31.1622
26,31.03,30.7448,30.7448
27,31.6514,30.7448,30.8186
28,31.0888,162.5204,163.3854
29,31.7572,30.8186,31.1622
30,31.1244,31.2782,30.7448
