run,random_search,flash_v5_base,flash_v5_opt
1,59836.4,52285.4,54845.4
2,59735.0,52285.4,52285.4
3,64457.4,52285.4,52285.4
4,64196.8,52285.4,52324.8
5,57870.2,52285.4,52285.4
6,61598.8,52285.4,53839.4
7,61245.6,52285.4,52285.4
8,56536.8,52285.4,52285.4
9,57211.8,52285.4,52285.4
10,65176.8,52285.4,52285.4
11,60572.6,52285.4,52285.4
12,62256.2,52285.4,54845.4
13,62440.2,52285.4,52285.4
14,63535.0,52285.4,53839.4
15,64265.2,52285.4,52285.4
16,61353.8,52285.4,52285.4
17,60741.4,52285.4,52324.8
18,58555.8,52285.4,52285.4
19,63237.2,52285.4,52285.4
20,60304.4,52285.4,52285.4
21,66124.8,52324.8,52285.4
22,62378.0,52285.4,52285.4
23,62817.4,52324.8,52285.4
24,60566.4,52285.4,52285.4
25,64148.0,52285.4,52324.8
26,64117.4,52285.4,52285.4
27,61437.8,52285.4,52285.4
28,64264.0,52285.4,52285.4
29,61364.2,52285.4,52285.4
30,59136.4,52285.4,52285.4
