run,random_search,flash_v5_base,flash_v5_opt
1,46192.0,46035.0,46035.0
2,46122.2,46095.0,46097.4
3,46070.8,46169.2,46039.0
4,46172.2,46022.8,46022.8
5,46256.6,46083.6,46064.6
6,46135.0,46070.8,46039.0
7,46122.2,45922.8,46078.8
8,46335.6,46096.4,46104.2
9,46064.6,46022.8,46104.2
10,46073.6,46078.8,46078.8
11,46092.0,46022.8,46022.8
12,46204.0,46064.6,46022.8
13,46022.8,46022.8,46299.2
14,46111.6,46070.8,46135.0
15,46121.6,46039.0,46039.0
16,46097.4,46047.4,45939.8
17,46111.6,46094.8,46047.4
18,45939.8,45922.8,46095.0
19,46194.4,46167.0,45939.8
20,46291.6,46054.6,46054.6
21,46194.4,45980.8,46078.8
22,46129.8,46022.8,46064.6
23,46144.0,46022.8,46073.6
24,46124.2,46022.8,46078.8
25,46121.0,46095.0,45939.8
26,46094.8,46042.4,46035.0
27,46097.6,46097.4,46064.6
28,46142.2,46022.8,45922.8
29,45980.8,46022.8,46035.0
30,46132.6,46022.8,46054.6
