run,random_search,flash_v5_base,flash_v5_opt
1,1.52,1.46,1.46
2,1.472,1.46,1.46
3,1.514,1.472,1.472
4,1.472,1.46,1.472
5,1.472,1.46,1.472
6,1.514,1.46,1.472
7,1.628,1.46,1.472
8,1.556,1.46,1.472
9,1.46,1.472,1.472
10,1.942,1.46,1.46
11,1.574,1.46,1.472
12,1.526,1.46,1.46
13,1.514,1.472,1.46
14,1.46,1.46,1.472
15,1.526,1.46,1.472
16,1.514,1.46,1.46
17,1.472,1.46,1.472
18,1.526,1.46,1.472
19,1.628,1.46,1.472
20,1.52,1.46,1.472
21,1.472,1.46,1.472
22,1.52,1.46,1.472
23,1.526,1.46,1.472
24,1.52,1.472,1.472
25,1.46,1.46,1.472
26,1.46,1.46,1.472
27,1.526,1.46,1.472
28,1.526,1.46,1.472
29,1.526,1.46,1.472
30,1.472,1.46,1.46
