run,random_search,flash_v5_base,flash_v5_opt
1,7.62586420787e-05,1.36176146569e-05,2.72352293138e-06
2,0.0,0.00066045431086,0.0
3,2.72352293138e-06,8.17056879415e-06,4.22146054364e-05
4,1.08940917255e-05,2.72352293138e-06,5.44704586276e-06
5,2.31499449167e-05,2.72352293138e-06,2.72352293138e-06
6,0.0,1.36176146569e-06,8.17056879415e-06
7,4.76616512992e-05,4.08528439707e-06,0.0
8,0.000118473247515,6.80880732846e-05,6.80880732846e-05
9,0.0,8.17056879415e-06,6.80880732846e-06
10,0.000192008366662,0.0,1.08940917255e-05
11,0.0,0.0,2.72352293138e-06
12,4.22146054364e-05,5.17469356963e-05,1.36176146569e-06
13,0.0,0.000616877943958,0.000619601466889
14,6.80880732846e-06,0.0,0.0
15,9.53233025984e-06,8.17056879415e-06,1.08940917255e-05
16,1.49793761226e-05,0.0,2.72352293138e-06
17,6.80880732846e-05,4.22146054364e-05,0.000644113173272
18,5.99175044904e-05,0.0,0.0
19,0.000649560219135,0.000616877943958,0.0
20,4.08528439707e-06,2.72352293138e-06,0.0
21,4.35763669021e-05,0.0,3.5405798108e-05
22,2.72352293138e-06,0.0,0.0
23,1.49793761226e-05,0.0,5.44704586276e-06
24,4.08528439707e-06,0.0,2.72352293138e-06
25,0.000122558531912,1.36176146569e-06,3.26822751766e-05
26,0.0,0.0,8.17056879415e-06
27,7.35351191473e-05,1.36176146569e-06,1.36176146569e-06
28,2.31499449167e-05,4.22146054364e-05,3.9491082505e-05
29,8.17056879415e-06,0.0,0.0
30,8.17056879415e-06,8.17056879415e-06,1.36176146569e-06
