run,random_search,flash_v5_base,flash_v5_opt
1,25.588,21.556,23.232
2,25.31,21.586,21.636
3,23.148,22.312,21.636
4,23.586,21.906,21.758
5,25.034,22.554,22.92
6,30.226,21.714,21.714
7,28.338,21.714,22.794
8,22.874,23.02,21.586
9,23.39,21.772,22.29
10,23.162,21.698,21.678
11,23.048,21.556,21.636
12,24.902,21.65,23.062
13,22.878,21.65,23.01
14,23.194,21.556,21.586
15,22.984,21.678,21.586
16,24.014,22.432,21.586
17,23.396,22.312,22.934
18,23.47,21.556,22.92
19,30.756,21.714,22.904
20,22.904,21.678,22.78
21,23.39,21.714,21.906
22,23.034,22.248,22.29
23,23.248,22.554,21.636
24,21.678,21.714,21.556
25,23.192,21.586,21.586
26,30.228,21.698,21.556
27,30.916,21.65,21.714
28,24.092,23.002,21.714
29,21.906,21.678,21.678
30,29.742,23.362,21.758
