run,random_search,flash_v5,flash_v6
1,4.62998898335e-05,0.0,0.0
2,0.0,0.0,0.0
3,2.72352293138e-06,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,9.53233025984e-06,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,5.44704586276e-06,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,5.44704586276e-06,0.0,0.0
15,1.36176146569e-06,0.0,0.0
16,1.49793761226e-05,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,1.49793761226e-05,0.0,0.0
22,2.72352293138e-06,0.0,0.0
23,4.08528439707e-06,0.0,0.0
24,4.08528439707e-06,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,2.31499449167e-05,0.0,0.0
29,0.0,0.0,0.0
30,1.36176146569e-06,0.0,0.0
