run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,4676.6,4276.6,4276.6,9123.0,4222.6,4277.2
2,4402.6,4810.8,8924.0,4297.8,4196.4,4196.4
3,4310.8,10473.0,4280.4,4277.8,4310.8,4275.6
4,4582.0,4275.6,4331.8,4299.4,4215.8,4671.0
5,4382.8,4196.4,9160.2,4196.4,4215.8,9067.0
6,4395.4,9108.4,4570.6,4339.8,4276.6,4271.2
7,4444.6,9108.8,4357.8,4306.2,4222.6,4843.6
8,4315.8,4282.4,9120.8,4307.4,4310.8,4280.4
9,4507.4,4291.8,4309.2,4299.2,4277.8,8955.4
10,4305.6,4200.6,4275.6,9078.0,4642.0,4277.2
11,4604.8,9079.2,8896.8,9092.8,4196.4,4567.2
12,4800.8,4271.2,4646.4,8885.6,4196.4,4196.4
13,4370.6,4275.6,4271.2,4345.0,4222.6,8898.0
14,4541.0,8977.4,4323.0,8885.6,4215.8,4196.4
15,4658.4,4271.2,4647.4,4302.4,4241.4,4277.2
16,4546.4,4196.4,4565.0,4299.2,4196.4,4196.4
17,4405.0,4432.0,4271.2,8890.6,4361.2,4196.4
18,4303.8,4299.4,4334.2,9088.2,4241.4,4292.8
19,4415.0,4280.4,4662.8,9123.8,4200.6,4302.4
20,4655.0,4328.8,4315.4,4378.2,4224.0,8949.6
21,4307.4,4385.0,4574.4,8883.0,4215.8,4275.6
22,4419.8,4277.2,4196.4,8885.6,4238.4,4275.6
23,4318.0,9071.4,4196.4,4196.4,4299.2,4224.2
24,4306.2,9092.6,4359.0,4297.8,4196.4,4291.8
25,4275.6,9095.4,4275.6,4275.6,4238.4,4276.6
26,4299.2,4196.4,4660.2,4307.4,4222.6,4372.4
27,4466.0,9067.2,4275.6,4307.4,4304.8,4271.2
28,4918.0,9095.2,4196.4,4521.4,4275.6,4196.4
29,4385.2,4275.6,4282.4,9079.2,4215.8,4277.2
30,4634.4,9110.8,4271.2,9089.0,4196.4,4277.2
