run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,45939.8,45980.8,45980.8,46132.4,45922.8,45922.8
2,46073.6,45922.8,45922.8,46122.2,45939.8,45939.8
3,46047.4,45939.8,46054.6,46096.4,45922.8,45922.8
4,45922.8,46022.8,46039.0,46039.0,45922.8,45922.8
5,45980.8,46035.0,45939.8,46121.6,45939.8,45922.8
6,46054.6,45939.8,46042.4,46121.6,45922.8,45922.8
7,46102.0,45922.8,45980.8,46129.8,45939.8,45922.8
8,45939.8,45922.8,46039.0,46095.0,45922.8,45922.8
9,46047.4,45980.8,46047.4,46064.6,45922.8,45922.8
10,46047.4,45922.8,46022.8,46039.0,45939.8,45939.8
11,46064.6,45980.8,46039.0,46078.8,45922.8,45922.8
12,45939.8,45939.8,45939.8,46064.6,46022.8,45939.8
13,46022.8,45939.8,46078.8,45922.8,45939.8,45939.8
14,46099.4,45939.8,46035.0,46121.6,45922.8,45939.8
15,46035.0,45922.8,46039.0,46121.6,45939.8,45939.8
16,46054.6,46039.0,45939.8,46132.4,45939.8,45922.8
17,45922.8,46047.4,46035.0,46097.4,45922.8,45922.8
18,45922.8,45922.8,45922.8,46039.0,45922.8,45922.8
19,46047.4,46039.0,45980.8,46096.4,46022.8,45922.8
20,46035.0,45939.8,45939.8,46064.6,45922.8,45922.8
21,46039.0,45980.8,45922.8,46039.0,45939.8,45939.8
22,45939.8,45922.8,45922.8,46129.8,45922.8,45922.8
23,45980.8,45939.8,46022.8,46145.8,45922.8,45922.8
24,46102.0,45922.8,45939.8,46143.4,45922.8,45980.8
25,46097.4,45980.8,45922.8,46121.0,46022.8,45939.8
26,45939.8,45922.8,46022.8,46039.0,45939.8,45922.8
27,46073.6,46039.0,46022.8,46039.0,45939.8,45922.8
28,45922.8,45922.8,45922.8,46122.2,45922.8,45922.8
29,45980.8,45922.8,45980.8,45980.8,45922.8,45939.8
30,46022.8,45939.8,45939.8,45939.8,45922.8,45922.8
