run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,0.0,0.0,0.0,4.08528439707e-05,0.0,0.0
2,0.0,0.0,2.72352293138e-05,3.9491082505e-05,0.0,0.0
3,2.72352293138e-06,0.0,0.0,2.72352293138e-06,0.0,0.0
4,0.0,0.0,0.000104855632858,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,2.72352293138e-06,0.0,0.0
7,0.0,1.36176146569e-06,7.62586420787e-05,8.85144952699e-05,0.0,0.0
8,0.0,0.0,4.08528439707e-06,8.17056879415e-06,0.0,0.0
9,0.0,0.0,0.0,1.36176146569e-06,2.72352293138e-06,0.0
10,1.36176146569e-06,0.0,0.0,2.72352293138e-05,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,1.49793761226e-05,1.36176146569e-06,0.0
13,0.0,0.0,8.17056879415e-06,1.63411375883e-05,0.0,0.0
14,5.44704586276e-06,0.0,8.17056879415e-06,5.44704586276e-06,0.0,0.0
15,1.36176146569e-06,0.0,0.0,0.000104855632858,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,4.08528439707e-06,0.0,0.0
18,0.0,0.0,0.0,5.99175044904e-05,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,4.08528439707e-06,4.08528439707e-06,0.0,0.0
21,2.72352293138e-06,0.0,1.36176146569e-06,1.36176146569e-06,0.0,0.0
22,0.0,0.0,2.72352293138e-06,2.72352293138e-06,0.0,0.0
23,0.0,0.0,0.0,0.000783012842772,0.0,0.0
24,4.08528439707e-06,0.0,0.0,5.44704586276e-06,0.0,0.0
25,0.0,0.0,2.72352293138e-05,0.000262819962878,0.0,0.0
26,0.0,0.0,2.72352293138e-06,8.17056879415e-06,0.0,0.0
27,0.0,0.0,2.72352293138e-06,7.35351191473e-05,0.0,0.0
28,2.31499449167e-05,0.0,0.0,1.49793761226e-05,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
