run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,31.2782,31.9034,163.3106,31.4314,31.1622,30.8186
2,31.6514,30.7448,164.4504,163.3854,30.7448,30.7448
3,31.0888,161.9186,31.2326,164.2734,30.8186,31.0888
4,31.2232,162.9336,31.1244,31.3372,30.8186,31.1458
5,31.4676,31.1622,31.1622,31.1622,31.9984,30.8186
6,31.3372,162.6548,30.8186,164.143,30.8186,30.8186
7,31.3372,31.1982,163.4268,163.2566,161.9186,30.8186
8,31.3186,164.142,31.0946,164.9448,31.0888,30.8186
9,31.6068,31.0888,31.6068,162.2004,31.03,30.7448
10,32.0384,30.7448,164.1594,162.6548,163.3164,30.8186
11,30.8186,31.0946,163.1684,162.5204,30.8186,31.3186
12,31.4648,31.03,31.03,163.3854,32.4956,31.0888
13,31.0888,31.0946,161.9186,163.6666,162.2004,30.8186
14,31.6068,163.3854,31.0888,164.9448,30.8186,162.9336
15,31.2796,30.8186,32.7674,161.9186,32.436,30.7448
16,31.368,31.1622,31.2232,163.1684,31.1244,30.7448
17,31.6374,30.7448,30.7448,164.9432,31.1244,30.8186
18,31.2326,162.5806,163.1388,164.2734,31.1622,30.8186
19,31.1244,164.142,163.4228,163.4228,30.8186,30.7448
20,31.3498,163.6666,31.1622,163.3106,31.03,30.8186
21,31.4676,30.7448,31.9034,163.2298,30.8186,30.8186
22,31.3186,30.7448,31.0946,30.7448,30.7448,31.2232
23,31.1458,163.2566,31.0888,163.8384,31.0946,31.4676
24,31.1458,161.9186,162.5806,162.9336,163.4228,30.8186
25,31.6068,31.03,164.8436,31.6254,30.7448,30.7448
26,31.03,30.8186,31.1244,31.4314,31.1244,30.7448
27,31.6514,30.7448,161.9186,31.03,30.7448,30.7448
28,31.0888,30.8186,30.8186,162.6548,30.7448,162.5204
29,31.7572,31.1982,31.4314,31.03,162.5204,30.8186
30,31.1244,162.5806,163.2566,163.2566,30.8186,31.2782
