run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,59836.4,60404.2,59725.0,55081.4,58569.0,53887.2
2,59735.0,64909.0,60018.2,59565.0,57921.0,52285.4
3,64457.4,65718.2,68145.2,60439.4,58048.8,52285.4
4,64196.8,67550.0,65722.2,57615.4,58809.4,52285.4
5,57870.2,62978.4,60127.8,58757.8,56919.4,52285.4
6,61598.8,56442.8,60042.6,59559.2,58491.8,52285.4
7,61245.6,62637.0,56465.6,58358.0,60618.4,52285.4
8,56536.8,60338.6,62224.6,68464.6,61434.6,52285.4
9,57211.8,63869.4,59478.4,56718.0,57090.0,52285.4
10,65176.8,58569.0,59307.4,52285.4,56590.8,52285.4
11,60572.6,63922.4,59372.4,60735.2,58632.2,52285.4
12,62256.2,71040.0,65941.4,59307.4,58306.4,52285.4
13,62440.2,63617.6,57493.4,58417.2,59819.2,52285.4
14,63535.0,63125.8,58085.8,56887.0,61853.2,52285.4
15,64265.2,60365.4,55493.0,62047.8,62423.2,52285.4
16,61353.8,61414.8,61394.0,57468.4,58358.0,52285.4
17,60741.4,59834.6,59303.4,60741.4,60566.4,52285.4
18,58555.8,65924.8,54845.4,56380.6,57637.4,52285.4
19,63237.2,64064.4,63237.2,62684.0,60173.6,52285.4
20,60304.4,59473.2,60304.4,60304.4,56883.8,52285.4
21,66124.8,75409.0,60271.4,63750.2,59800.8,52285.4
22,62378.0,60942.6,63076.4,60735.2,59184.0,52285.4
23,62817.4,69040.4,66402.8,69040.4,56544.0,52285.4
24,60566.4,73038.2,62005.4,61224.0,58973.4,52285.4
25,64148.0,62782.2,61686.0,66015.0,57844.6,52285.4
26,64117.4,66120.6,59869.0,65315.4,59017.0,52285.4
27,61437.8,68810.0,64482.6,66061.2,58238.0,52285.4
28,64264.0,73765.8,68203.4,68139.2,57341.8,52285.4
29,61364.2,61665.2,58618.2,59739.0,58436.4,52285.4
30,59136.4,73345.8,59136.4,57760.2,60163.4,52285.4
