run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,25.588,21.942,29.34,21.556,22.254,21.556
2,25.31,23.184,25.31,23.67,21.586,21.586
3,23.148,23.982,33.472,21.906,22.59,22.312
4,23.586,24.49,22.626,21.556,23.49,21.906
5,25.034,22.554,22.59,22.874,22.854,22.554
6,30.226,24.836,22.312,24.762,21.694,21.714
7,28.338,23.244,24.768,22.99,22.396,21.714
8,22.874,23.52,22.92,23.204,28.67,23.02
9,23.39,24.218,23.186,21.906,23.632,21.772
10,23.162,24.466,21.636,22.874,23.916,21.698
11,23.048,21.65,24.508,23.212,21.636,21.556
12,24.902,22.452,28.428,21.556,22.874,21.65
13,22.878,22.29,22.496,22.29,22.878,21.65
14,23.194,22.492,22.996,22.312,21.758,21.556
15,22.984,24.878,22.982,22.866,23.268,21.678
16,24.014,22.842,28.922,22.138,22.248,22.432
17,23.396,25.346,22.492,23.002,21.698,22.312
18,23.47,25.42,38.602,23.162,22.99,21.556
19,30.756,23.866,24.374,22.982,22.78,21.714
20,22.904,21.698,22.168,23.206,22.312,21.678
21,23.39,24.784,22.746,22.248,22.522,21.714
22,23.034,25.124,21.556,21.556,21.556,22.248
23,23.248,24.374,22.866,21.556,21.678,22.554
24,21.678,22.452,21.65,23.048,22.138,21.714
25,23.192,22.554,22.626,22.934,22.396,21.586
26,30.228,22.29,30.228,22.248,23.552,21.698
27,30.916,22.29,30.366,22.29,21.556,21.65
28,24.092,25.094,23.002,23.002,21.97,23.002
29,21.906,23.2,30.748,21.586,22.492,21.678
30,29.742,23.366,30.828,22.92,21.586,23.362
