run,random_search,flash_v6,flash_v7
1,4795.2,4315.8,4669.6
2,4402.6,4200.6,4627.6
3,4667.6,4304.6,4302.4
4,4582.0,4276.6,4276.6
5,4417.4,9067.0,9067.0
6,4570.6,8939.8,8939.8
7,4593.8,4843.6,4843.6
8,4315.8,4645.6,4818.6
9,4507.4,8955.4,4627.6
10,4976.8,4351.4,4643.0
11,4857.8,4196.4,4419.8
12,4800.8,4196.4,4222.6
13,4370.6,8898.0,4696.4
14,4541.0,4306.0,5938.4
15,4697.6,4277.2,4277.8
16,4871.2,4196.4,5066.2
17,5239.4,4354.8,4224.2
18,8916.8,4642.0,4647.6
19,4415.0,4271.2,4277.2
20,4852.6,9076.8,9067.0
21,4396.2,4238.4,4196.4
22,4419.8,4522.0,4611.6
23,4343.8,4224.2,4196.4
24,4306.2,4196.4,4546.4
25,4275.6,4224.2,4645.6
26,4299.2,4307.6,4372.4
27,4720.2,4304.0,4310.2
28,4918.0,4224.0,4642.0
29,4385.2,4196.4,4733.2
30,4726.2,8942.4,8942.4
