run,random_search,flash_v6,flash_v7
1,31.2602,30.7448,30.7448
2,31.2232,30.7448,30.7448
3,31.03,30.7448,30.7448
4,31.0946,30.7448,30.7448
5,31.4676,30.7448,30.7448
6,31.3372,30.7448,30.7448
7,31.1244,30.7448,30.7448
8,30.8186,30.7448,30.7448
9,31.0888,30.7448,30.7448
10,31.03,30.7448,30.7448
11,30.8186,30.7448,30.7448
12,30.8186,30.7448,30.7448
13,31.0888,30.7448,30.7448
14,30.7448,30.7448,30.7448
15,31.1244,30.7448,30.7448
16,31.0888,30.7448,30.7448
17,31.1458,30.7448,30.7448
18,30.7448,30.7448,30.7448
19,30.7448,30.7448,30.7448
20,31.2782,30.7448,30.7448
21,31.03,30.7448,30.7448
22,30.7448,30.7448,30.7448
23,31.1458,30.7448,30.7448
24,31.0888,30.7448,30.7448
25,31.4314,30.7448,30.7448
26,31.03,30.7448,30.7448
27,30.8186,30.7448,30.7448
28,30.7448,30.7448,30.7448
29,31.3498,30.7448,30.7448
30,31.1244,30.7448,30.7448
